metabolite_name,superclass,subclass,pathway_tag,annotation_source,review_status,ambiguous_flag,notes
7-Dehydrocholic acid (7-DHCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Beta-Muricholic acid (β-MCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cholic acid (CA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Deoxycholic acid (DCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycochenodeoxycholic acid (GCDCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycocholic acid (GCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycodeoxycholic acid (GDCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycohyodeoxycholic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycoursodeoxycholic acid (GUDCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hyodeoxycholic acid (HDCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tauro-α-muricholic acid (α-TMCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tauro-β-muricholic acid (β-TMCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tauro-α-muricholic acid (ω-TMCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Taurochenodeoxycholic acid (TCDCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Taurodeoxycholic acid (TDCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Taurohyodeoxycholic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Taurolithocholic acid (TLCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Omega-muricholic acid (ω-MCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ribonolactone,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
4-Hydroxycinnamic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
12-hydroxystearic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Hydroxy-3-methylbutyric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Hydroxycaproic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Azelaic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Conjugated linoleic acids (CLA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Palmitelaidic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Petroselinic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ricinoleic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Sebacic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Suberic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"3,4-Dihydroxyhydrocinnamic acid",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Methyl-2-oxovaleric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ketoleucine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Methylmalonic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Oxoadipic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Indolepropionic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Indole-3-carboxylic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Indoleacetic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Phenylpropionic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hydrocinnamic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tryptamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Indole,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Indoxyl sulfate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Indole-3-carboxaldehyde,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Kynurenate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5-Hydroxyindole-3-acetic Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cinnavalininate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Indole-3-lactic Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Vitamin B7,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Dopamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Epinephrine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Norepinephrine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Methoxytyramine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tyramine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Vanillylmandelic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-(4-Hydroxyphenyl)propionic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
p-Cresol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
p-Cresyl sulfate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Linoleoyl ethanolamide,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Anandamide,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phenol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetyltyrosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Hydroxyphenylacetic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
4-Hydroxybenzoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Benzoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hippuric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylserotonin,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ortho-Hydroxyphenylacetic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
p-Hydroxymandelic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phenylacetic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phenyllactic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phenylpyruvic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Protocatechuic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phenylethylamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Hydroxyanthranilic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Dehydrocholic acid (3-DHCA),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Erucic Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Elaidic Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hexanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Lignoceric Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Linoleic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Linoelaidic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Oleic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Palmitic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Pentadecanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Stearic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Arachidic Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Palmitoylcarnitine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
